CustomerID,Recency,Frequency,Monetary,Cluster
12456,44,3,3181.04,3
12457,66,8,2995.91,3
12458,71,4,1777.49,3
12459,605,1,454.36,2
12460,456,1,326.65,2
12461,94,2,826.88,1
12462,19,2,1189.59,3
12463,53,4,1344.78,3
12464,10,8,1212.05,3
12465,17,2,742.1899999999999,1
12466,682,1,56.73,2
12467,423,1,132.8,2
12468,188,5,3670.74,3
12469,523,2,3070.54,2
12470,690,1,211.95,2
12472,32,19,17880.59,0
12473,29,5,3938.5499999999997,3
12474,17,31,12424.45,0
12475,54,2,1149.64,3
12476,16,23,14115.41,0
12477,23,9,20276.37,0
12478,4,1,680.99,1
12479,11,1,527.2,1
12480,28,7,5464.85,0
12481,23,15,12361.39,0
12482,576,29,23691.4,0
12483,17,19,5120.58,0
12484,33,12,6370.15,0
12485,529,1,708.1,2
12486,432,1,1037.28,2
12487,731,1,285.29999999999995,2
12488,10,3,1298.66,3
12489,336,1,334.93,2
12490,5,21,9823.64,0
12491,39,1,460.40000000000003,1
12492,63,3,715.21,3
12493,166,2,433.74,1
12494,16,9,1872.8700000000001,3
12495,641,1,357.4,2
12496,620,2,54.09,2
12497,82,3,6248.5,3
12498,21,3,403.70000000000005,1
12499,560,1,393.72,2
12500,23,19,5955.21,0
12501,337,1,2169.39,2
12502,96,5,3723.87,3
12503,584,1,1126.0,2
12504,18,4,779.05,3
12505,409,1,955.2,2
12506,233,1,73.5,1
12507,134,4,1844.06,3
12508,26,2,398.27,1
12509,284,1,176.5,1
12510,143,9,5178.02,0
12511,429,1,3084.02,2
12512,66,2,138.03,1
12513,113,1,612.29,1
12514,267,2,1597.76,3
12515,353,1,383.7,2
12516,78,4,2648.62,3
12517,28,5,2502.84,3
12518,1,5,2056.89,3
12519,64,2,726.54,1
12520,79,5,2634.26,3
12521,143,1,599.68,1
12522,39,2,192.72,1
12523,19,23,4372.15,0
12524,9,17,11126.11,0
12525,498,3,973.73,2
12526,1,3,1316.66,3
12527,82,5,735.51,3
12528,9,6,1933.48,3
12529,528,1,316.48,2
12530,60,9,3759.26,0
12531,15,2,1933.2,3
12532,30,1,349.83000000000004,1
12533,628,2,1367.89,2
12534,131,1,1089.18,1
12535,92,2,716.35,1
12536,43,3,12601.830000000002,3
12537,409,1,732.94,2
12538,29,2,640.45,1
12539,22,7,11214.75,0
12540,20,33,22254.49,0
12541,30,3,981.18,3
12542,484,2,481.88,2
12543,448,1,980.25,2
12544,36,1,372.7,1
12545,75,2,1000.39,1
12546,47,2,1161.5,3
12547,198,3,383.58,1
12548,166,1,95.19999999999999,1
12549,576,6,1575.68,2
12550,79,1,964.83,1
12551,358,1,168.0,2
12552,39,2,437.82,1
12553,8,12,4608.75,0
12554,449,1,468.5,2
12555,682,1,129.23,2
12556,50,2,603.71,1
12557,16,8,18716.14,0
12558,8,1,269.96,1
12559,311,2,561.71,2
12560,5,3,2134.01,3
12561,303,1,238.85,2
12562,8,9,4966.92,0
12563,409,1,249.24,2
12564,261,1,456.9,1
12565,289,1,145.92,1
12566,86,1,351.65,1
12567,23,15,13709.86,0
12568,645,1,70.0,2
12569,2,32,4124.69,0
12570,682,1,77.52,2
12571,40,2,519.61,1
12572,9,2,1020.42,1
12573,227,5,717.41,3
12574,316,1,218.45,2
12575,457,2,622.8199999999999,2
12576,36,8,2142.72,3
12577,35,8,1653.75,3
12578,21,4,4642.45,3
12579,78,1,440.42,1
12580,247,2,1052.9,3
12581,40,1,197.71,1
12582,239,4,1980.4,3
12583,3,27,14447.44,0
12584,4,9,2338.15,0
12585,234,2,2040.1,3
12586,17,4,2062.67,3
12587,8,1,144.0,1
12588,39,4,958.78,3
12589,29,8,4695.66,0
12590,211,2,9864.26,3
12591,317,3,1352.15,3
12592,92,5,2582.66,3
12593,109,3,418.09999999999997,1
12594,38,15,5090.110000000001,0
12595,505,1,299.02,2
12596,51,2,618.27,1
12597,19,4,3811.22,3
12598,10,11,4534.09,0
12599,29,13,2296.72,0
12600,29,21,5043.92,0
12601,190,6,681.26,3
12602,59,1,153.12,1
12603,22,1,739.1999999999999,1
12604,79,2,254.18,1
12605,376,4,1232.95,3
12606,682,1,21.0,2
12607,60,1,1579.51,1
12608,405,1,415.79,2
12609,78,9,3435.86,0
12610,23,5,2099.54,3
12611,52,1,1193.32,1
12612,74,1,704.0400000000001,1
12613,57,10,6835.07,0
12614,278,1,315.6,1
12615,2,8,5740.98,0
12616,95,3,1131.1,3
12617,29,1,355.53,1
12618,22,1,177.31,1
12619,16,10,3781.38,0
12620,15,3,1339.41,3
12621,2,35,24775.81,0
12622,232,1,180.1,1
12623,276,7,3747.84,3
12624,106,2,641.13,1
12625,212,4,5164.88,3
12626,23,9,6620.48,0
12627,11,7,4478.53,0
12628,4,3,786.46,3
12629,386,2,1558.22,2
12630,10,2,1270.88,3
12631,57,6,3481.57,3
12632,521,2,804.88,2
12633,59,7,5678.16,0
12634,536,2,490.0,2
12635,90,4,2930.41,3
12636,739,1,141.0,2
12637,67,12,8340.31,0
12638,33,2,921.49,1
12639,239,3,1312.37,3
12640,24,3,1174.58,3
12641,115,1,185.9,1
12642,25,3,1013.26,3
12643,128,12,8350.42,0
12644,130,4,1918.49,3
12645,34,8,3539.3,0
12646,5,2,1346.97,3
12647,22,36,17924.35,0
12648,155,4,1112.0,3
12649,107,8,2294.65,3
12650,3,1,314.44,1
12651,335,4,377.75,2
12652,331,2,1017.03,2
12653,149,3,4160.83,3
12654,11,5,601.98,3
12655,424,1,261.35,2
12656,17,8,6407.83,0
12657,11,4,1643.18,3
12658,19,1,686.05,1
12659,30,1,91.68,1
12660,11,1,245.1,1
12661,436,1,162.0,2
12662,1,20,6988.02,0
12663,625,2,239.4,2
12664,8,11,6070.04,0
12665,325,3,313.6,2
12666,394,1,1248.42,2
12667,58,1,620.13,1
12668,12,10,11444.68,0
12669,151,3,2744.0299999999997,3
12670,10,7,3760.29,0
12671,606,1,2622.481,2
12672,330,2,437.05,2
12673,5,3,1230.02,3
12674,39,4,1970.6,3
12675,554,2,958.5,2
12676,25,11,2843.09,0
12677,555,2,395.1,2
12679,59,4,1113.02,3
12680,1,4,880.81,3
12682,4,52,24033.91,0
12683,4,21,12696.78,0
12684,8,7,2283.63,3
12685,28,6,2863.08,3
12686,372,1,178.28,2
12687,481,2,2138.91,2
12688,114,1,4873.8099999999995,3
12689,26,2,1247.61,3
12690,206,1,389.01,1
12691,28,7,1170.4,3
12692,637,1,110.95,2
12693,127,7,1703.02,3
12694,70,3,1843.35,3
12695,7,7,1407.1200000000001,3
12696,435,2,851.91,2
12697,29,3,957.59,3
12698,590,1,339.75,2
12699,418,1,638.11,2
12700,8,4,4939.99,3
12701,80,6,2446.41,3
12702,20,1,219.0,1
12703,71,4,1006.53,3
12704,7,8,2340.84,3
12705,15,14,11762.1,0
12707,292,1,603.42,1
12708,30,18,5314.1,0
12710,97,3,1149.02,3
12711,612,2,1339.05,2
12712,29,21,7193.66,0
12713,1,1,848.55,1
12714,9,12,14093.71,0
12715,106,1,353.86,1
12716,4,2,1053.49,3
12717,151,3,1308.91,3
12718,71,1,238.25,1
12719,5,2,644.95,1
12720,3,30,8260.67,0
12721,32,8,4013.08,0
12722,85,4,997.63,3
12723,4,5,725.07,3
12724,5,7,2317.52,3
12725,371,4,2694.56,3
12726,28,11,4014.6,0
12727,11,10,5679.53,0
12728,71,5,1070.17,3
12729,114,1,453.01,1
12730,522,1,829.25,2
12731,24,17,25775.71,0
12732,180,1,236.26000000000002,1
12733,234,4,2424.87,3
12734,353,3,639.65,2
12735,315,2,779.5699999999999,2
12736,333,1,234.0,2
12737,499,2,3710.5,2
12738,372,1,310.7,2
12739,78,4,2726.73,3
12740,64,1,427.6,1
12741,529,2,406.07,2
12742,626,1,1201.52,2
12743,134,2,546.43,1
12744,52,11,25317.06,0
12745,487,3,925.41,2
12746,541,1,254.55,2
12747,2,26,9276.539999999999,0
12749,4,9,6897.36,0
12750,129,1,275.88,1
12751,445,1,268.27,2
12752,81,1,4366.78,3
12753,23,6,21429.39,0
12754,236,3,3010.74,3
12755,281,11,9030.66,0
12756,87,1,112.07999999999998,1
12757,16,13,7857.1,0
12758,117,7,9903.24,0
12759,52,8,5020.74,0
12760,456,1,347.8,2
12761,458,2,782.95,2
12762,8,2,1898.52,3
12763,138,2,814.16,1
12764,317,1,1693.88,2
12765,472,6,1404.58,3
12766,4,9,10068.28,0
12767,376,1,949.82,2
12768,451,1,168.69000000000003,2
12769,239,1,1143.6,1
12770,211,2,3246.45,3
12771,486,1,282.3,2
12772,60,1,892.47,1
12773,564,1,124.25,2
12774,536,1,98.7,2
12775,17,7,1686.12,3
12776,668,1,55.5,2
12777,458,1,519.45,2
12778,20,9,1775.68,3
12779,38,14,6722.2699999999995,0
12780,599,1,337.4,2
12781,64,2,826.74,1
12782,5,11,4618.24,0
12783,2,6,2225.91,3
12784,9,3,1804.75,3
12785,364,3,1100.4,2
12786,610,1,728.5,2
12787,10,4,862.18,3
12788,463,4,444.9,2
12789,65,3,273.35,1
12790,192,2,591.85,1
12791,374,6,1056.1100000000001,3
12792,257,2,827.01,1
12793,335,3,1017.33,3
12794,53,2,860.41,1
12795,19,1,430.48,1
12796,628,1,381.0,2
12797,366,2,806.11,2
12798,10,4,8510.93,3
12799,529,1,219.35,2
12800,470,3,584.25,2
12801,501,1,1071.82,2
12802,187,7,2416.42,3
12803,393,1,1092.81,2
12804,466,2,327.02,2
12805,382,4,1434.95,3
12806,435,4,2878.96,3
12807,383,1,330.35,2
12808,37,5,906.1,3
12809,178,3,1755.94,3
12810,535,2,534.99,2
12811,261,5,1033.9,3
12812,45,1,229.64000000000001,1
12813,502,3,1687.8,2
12814,102,1,125.92,1
12815,148,2,1063.46,3
12816,96,2,572.2,1
12817,281,3,690.98,3
12818,262,1,1542.08,1
12819,458,1,540.52,2
12820,3,11,2689.52,0
12821,214,2,220.8,1
12822,71,2,948.88,1
12823,75,18,6501.5,0
12824,60,1,397.12,1
12825,521,2,518.63,2
12826,3,12,2955.75,0
12827,6,3,430.15000000000003,1
12828,3,6,1018.71,3
12829,337,3,385.3,2
12830,38,6,6814.64,0
12831,262,3,451.11,1
12832,32,2,383.03,1
12833,145,1,417.38,1
12834,283,1,312.38,1
12835,428,41,6043.31,0
12836,59,15,6585.62,0
12837,173,2,688.41,1
12838,34,10,3398.48,0
12839,3,26,10071.73,0
12840,144,7,4041.97,3
12841,5,40,7540.68,0
12842,70,4,1917.99,3
12843,66,30,6588.41,0
12844,29,4,648.6,3
12845,267,4,354.09,1
12846,682,1,15.58,2
12847,22,2,1636.8999999999999,3
12848,676,1,208.0,2
12849,31,6,3090.56,3
12850,446,1,330.0,2
12851,97,2,284.13,1
12852,295,1,311.55,1
12853,135,11,3907.5,0
12854,79,7,2994.02,3
12855,373,4,650.9399999999999,2
12856,8,6,2179.93,3
12857,211,6,3688.0,3
12858,383,1,177.92,2
12859,459,1,575.1,2
12860,693,1,55.47,2
12861,620,1,68.25,2
12862,426,2,1008.3199999999999,2
12863,52,6,2792.5499999999997,3
12864,138,2,299.57,1
12865,26,4,3323.47,3
12866,283,3,1227.35,3
12867,26,13,7913.29,0
12868,186,8,2247.06,3
12869,682,1,337.66999999999996,2
12870,375,3,1676.95,3
12871,84,3,744.02,3
12872,327,12,3685.4900000000002,0
12873,282,3,2027.3,3
12874,385,2,948.42,2
12875,143,5,1356.99,3
12876,58,4,4081.79,3
12877,4,20,2955.17,0
12878,236,2,854.99,1
12879,45,3,573.22,1
12880,382,2,640.13,2
12881,276,1,298.0,1
12882,9,2,1463.04,3
12883,25,4,703.47,3
12884,88,1,309.05,1
12885,63,3,1175.22,3
12886,68,2,1378.4,3
12887,384,1,222.4,2
12888,214,2,354.12,1
12889,381,4,385.46000000000004,2
12890,24,2,717.27,1
12891,186,11,840.5,3
12892,397,1,263.38,2
12893,31,1,188.14,1
12894,575,1,157.35,2
12895,42,2,372.8,1
12897,205,4,514.25,3
12898,464,2,310.96000000000004,2
12899,414,1,366.4,2
12900,422,1,340.33,2
12901,9,28,17654.54,0
12902,265,1,138.68,1
12903,429,1,833.53,2
12904,18,2,509.58,1
12905,577,2,1018.42,2
12906,12,5,2919.81,3
12907,396,2,508.91,2
12908,176,5,1776.0,3
12909,40,8,3103.19,0
12910,23,13,5796.52,0
12911,552,1,1680.47,2
12912,3,5,1662.3,3
12913,5,13,6700.860000000001,0
12914,401,1,223.98,2
12915,149,4,1174.75,3
12916,139,7,4654.0199999999995,3
12917,128,6,4359.2,3
12918,626,1,10953.5,2
12919,8,6,1335.19,3
12920,17,4,488.09000000000003,3
12922,161,1,405.38,1
12923,64,3,789.87,3
12924,88,12,2469.4,0
12925,5,3,729.3299999999999,3
12926,411,4,1548.46,3
12927,395,1,197.31,2
12928,35,12,4304.89,0
12929,312,1,117.85,2
12930,78,2,415.8,1
12932,539,8,1698.56,2
12933,24,8,1687.03,3
12934,737,1,181.65,2
12935,2,15,4243.86,0
12936,17,4,1063.9,3
12937,15,9,3097.61,0
12938,26,1,114.14,1
12939,64,20,25264.8,0
12940,55,2,913.54,1
12941,724,1,377.49,2
12942,131,3,942.65,3
12943,558,2,496.5,2
12944,36,2,604.51,1
12945,288,2,900.11,1
12946,437,1,324.45,2
12947,144,6,1908.03,3
12948,16,9,2317.43,0
12949,31,22,15526.7,0
12950,2,3,1843.0,3
12951,9,15,3213.7200000000003,0
12952,6,4,1387.79,3
12953,10,2,828.8100000000001,1
12954,639,1,162.45,2
12955,1,11,4757.16,0
12956,306,4,521.89,3
12957,10,13,8706.97,0
12958,400,2,539.49,2
12959,484,1,150.95,2
12960,414,4,1322.07,3
12961,379,1,211.99,2
12962,7,2,266.39,1
12963,8,12,3601.59,0
12964,437,1,132.24,2
12965,89,1,771.91,1
12966,10,1,160.18,1
12967,358,3,4306.92,3
12968,112,1,135.95,1
12969,603,1,122.45,2
12970,7,10,1524.97,3
12971,4,116,15972.79,0
12972,414,4,1161.2,2
12973,414,1,385.55,2
12974,198,2,408.95,1
12975,437,6,2100.09,3
12976,212,8,3156.38,3
12977,156,4,517.63,3
12978,385,5,2502.82,3
12979,729,1,517.7,2
12980,158,21,16245.78,0
12981,30,2,372.21999999999997,1
12982,243,8,2744.81,3
12983,598,1,490.08000000000004,2
12984,19,1,97.5,1
12985,1,2,1239.38,3
12986,429,10,2729.84,3
12987,74,5,1312.21,3
12988,292,1,535.32,1
12989,3,33,13551.75,0
12990,31,7,955.5,3
12991,23,3,764.82,3
12992,725,1,93.35000000000001,2
12993,23,8,1259.6299999999999,3
12994,4,3,974.4200000000001,3
12995,85,1,211.32,1
12996,376,1,355.5,2
12997,22,8,2110.91,3
12998,493,3,920.08,2
12999,196,3,455.88,1
13000,107,4,1032.5,3
13001,4,33,24172.100000000002,0
13002,318,3,414.13,2
13003,106,3,149.05,1
13004,12,36,11650.85,0
13005,174,4,999.68,3
13006,56,1,81.57,1
13007,580,1,175.25,2
13008,323,3,612.13,2
13009,673,1,234.0,2
13010,374,2,330.12,2
13011,372,1,101.10000000000001,2
13012,9,11,2972.83,0
13013,1,29,12625.77,0
13014,11,11,5381.08,0
13015,53,11,6586.42,0
13016,73,3,789.89,3
13017,7,1,204.0,1
13018,16,35,9763.16,0
13019,379,6,1229.95,3
13020,563,2,618.96,2
13021,4,17,4887.24,0
13022,430,1,65.3,2
13023,64,3,1449.03,3
13024,471,2,555.87,2
13025,732,1,323.39,2
13026,1,9,1733.08,3
13027,114,19,17335.2,0
13028,23,2,661.3199999999999,1
13029,31,5,1927.3,3
13030,11,2,1227.22,3
13031,407,5,3419.27,3
13032,52,9,2843.55,0
13033,357,2,220.55,2
13034,55,3,922.68,3
13035,74,3,1364.2,3
13036,685,1,307.1,2
13037,138,12,3914.9500000000003,0
13038,80,3,908.46,3
13039,584,4,1010.73,2
13040,9,2,676.99,1
13041,451,4,799.13,2
13042,598,3,1556.54,2
13043,273,1,516.42,1
13044,291,11,4853.9,0
13045,99,3,808.92,3
13046,31,3,949.25,3
13047,32,24,8795.16,0
13048,14,9,4084.21,0
13049,64,4,1408.24,3
13050,15,35,12344.53,0
13051,579,2,155.8,2
13052,212,7,3168.53,3
13053,622,1,127.65,2
13055,78,4,2321.11,3
13056,551,1,209.48,2
13057,530,3,722.09,2
13058,25,3,271.40000000000003,1
13059,250,10,2303.17,3
13060,254,1,307.53,1
13061,72,1,248.61,1
13062,191,1,346.98,1
13063,481,1,188.4,2
13064,13,6,1680.74,3
13065,373,5,1260.91,3
13066,24,2,470.8,1
13067,82,3,508.51,1
13068,10,2,344.0,1
13069,1,38,9683.13,0
13070,192,4,751.7,3
13071,612,1,129.22,2
13072,267,1,177.15,1
13073,411,2,418.08,2
13074,511,4,1378.74,2
13075,130,1,919.61,1
13076,458,1,135.4,2
13077,1,11,3064.67,0
13078,3,57,29532.45,0
13079,4,6,419.18,3
13080,179,4,280.73,1
13082,126,21,7335.75,0
13083,4,3,395.43,1
13084,492,1,122.39999999999999,2
13085,158,8,2433.28,3
13086,383,1,439.33000000000004,2
13087,726,1,313.64,2
13088,417,1,236.11,2
13090,9,24,14103.09,0
13091,28,3,2321.82,3
13092,71,12,2140.28,0
13094,21,13,2433.1200000000003,0
13095,71,1,74.39999999999999,1
13096,394,1,419.70000000000005,2
13097,33,28,13389.22,0
13098,1,28,28882.44,0
13099,99,1,207.35999999999999,1
13101,234,4,695.4,3
13102,1,37,11696.92,0
13103,40,3,709.64,3
13104,3,9,1709.1,3
13105,436,1,72.0,2
13106,133,2,603.46,1
13107,44,9,5253.07,0
13108,373,2,1098.52,2
13109,60,3,1134.03,3
13110,31,12,2957.4700000000003,0
13111,719,1,321.88000000000005,2
13112,541,1,20.6,2
13113,1,37,18625.73,0
13114,731,1,234.38,2
13115,12,10,5494.7,0
13116,138,1,501.14,1
13117,22,18,2643.81,0
13118,20,9,2415.41,0
13119,669,1,134.9,2
13120,239,1,30.599999999999998,1
13121,269,1,283.73,1
13122,94,2,922.39,1
13123,473,2,506.75,2
13124,90,4,4782.45,3
13125,524,1,158.57,2
13126,5,13,3998.25,0
13127,78,1,259.17,1
13128,631,1,263.5,2
13129,452,2,233.25,2
13130,94,1,64.0,1
13131,23,7,3313.77,3
13132,262,1,77.3,1
13133,274,3,200.45000000000002,1
13134,86,6,2475.23,3
13135,197,2,3371.45,3
13136,56,13,6274.56,0
13137,11,16,7712.7,0
13138,22,7,1467.24,3
13139,16,8,8202.98,0
13140,108,5,1215.68,3
13141,85,17,7668.58,0
13142,19,1,307.09,1
13143,585,1,405.1,2
13144,333,2,135.35,2
13145,40,7,1423.52,3
13146,26,1,228.91,1
13147,10,4,712.8000000000001,3
13148,29,26,8621.81,0
13149,14,4,1676.06,3
13150,484,3,449.96999999999997,2
13151,296,3,2580.7400000000002,3
13152,417,7,2146.38,3
13153,6,1,486.22,1
13154,399,3,1624.84,3
13155,33,6,1750.18,3
13156,385,3,1586.54,3
13157,49,9,5687.36,0
13158,95,5,1508.18,3
13159,9,4,1437.85,3
13160,22,1,91.8,1
13161,313,2,478.88,2
13162,122,16,9275.49,0
13163,610,1,17.65,2
13164,569,2,372.2,2
13165,46,3,1451.16,3
13166,283,2,884.18,1
13167,19,5,1125.15,3
13168,36,5,1875.31,3
13169,64,3,840.08,3
13170,27,1,116.00999999999999,1
13171,22,3,468.41,1
13172,400,1,69.6,2
13173,4,11,2639.35,0
13174,16,12,9494.84,0
13175,582,2,831.45,2
13176,46,1,492.84,1
13177,65,2,512.2,1
13178,26,21,14059.19,0
13179,619,1,572.3100000000001,2
13180,607,1,86.10000000000001,2
13181,381,1,359.69,2
13182,45,1,121.18,1
13183,8,15,7036.18,0
13184,15,10,1701.29,3
13185,268,1,71.4,1
13186,40,3,1575.89,3
13187,337,4,367.01,2
13188,11,1,114.60000000000001,1
13189,19,2,260.68,1
13190,544,3,570.66,2
13191,658,1,164.69,2
13192,95,6,2558.58,3
13193,61,1,117.88,1
13194,136,2,472.78,1
13195,414,1,172.38,2
13196,11,7,3068.84,3
13197,610,1,373.01000000000005,2
13198,10,8,4974.2300000000005,0
13199,4,67,16432.89,0
13200,19,4,870.09,3
13201,502,4,1240.6100000000001,2
13202,394,7,1580.3,3
13203,10,10,2648.25,0
13204,731,1,966.6600000000001,2
13205,443,1,2803.2,2
13206,400,13,8377.32,0
13207,15,4,535.86,3
13208,59,9,1988.5,3
13209,30,13,8509.51,0
13210,94,1,353.48,1
13211,10,10,2729.32,0
13212,20,3,788.08,3
13213,57,11,3851.52,0
13214,418,7,3264.23,3
13215,402,1,81.6,2
13216,268,1,333.74,1
13217,122,4,666.48,3
13218,127,1,62.63999999999999,1
13219,618,1,76.23,2
13220,78,5,1336.0900000000001,3
13221,240,2,847.41,1
13222,577,1,88.5,2
13223,200,6,969.1200000000001,3
13224,60,2,2155.95,3
13225,3,16,16260.07,0
13226,273,2,312.46,1
13227,202,1,257.7,1
13228,81,1,358.0,1
13229,226,1,160.95,1
13230,4,30,6360.78,0
13232,13,7,1357.6,3
13233,74,4,1176.46,3
13234,673,2,356.95,2
13235,212,1,1031.07,1
13236,25,2,744.85,1
13237,388,1,643.0,2
13238,17,6,1006.63,3
13239,262,5,1594.69,3
13240,96,8,1738.52,3
13241,412,1,115.58,2
13242,112,7,699.4,3
13243,203,5,1278.04,3
13244,93,1,121.74000000000001,1
13245,51,2,989.22,1
13246,18,11,3387.43,0
13247,18,4,501.12,3
13248,125,2,465.68,1
13249,92,9,1608.93,3
13250,461,2,256.04,2
13251,402,1,252.68,2
13252,394,2,399.3,2
13253,157,4,2951.11,3
13254,376,1,51.410000000000004,2
13255,9,3,904.46,3
13257,436,1,149.75,2
13258,12,5,1035.18,3
13259,62,9,1433.38,3
13260,61,1,557.62,1
13261,269,2,944.1,1
13262,263,3,573.45,1
13263,1,39,8704.69,0
13264,443,1,722.5600000000001,2
13265,53,5,2107.66,3
13266,11,19,6135.04,0
13267,3,36,9758.26,0
13268,18,11,3214.69,0
13269,1,28,8891.7,0
13270,366,1,1180.0,2
13271,37,1,217.38,1
13272,31,2,276.56,1
13273,113,1,138.98,1
13274,409,1,360.85,2
13275,384,2,241.66,2
13276,64,5,1939.26,3
13277,16,7,523.3,3
13278,41,4,1435.85,3
13279,78,1,137.75,1
13280,122,7,2322.63,3
13281,439,1,350.85,2
13282,18,4,1313.19,3
13283,60,4,373.36,1
13284,331,1,201.19,2
13285,23,6,3364.59,3
13286,600,1,734.91,2
13287,603,3,781.59,2
13288,443,5,927.61,2
13289,724,1,307.95,2
13290,438,1,208.63,2
13291,156,11,3320.84,0
13292,39,5,994.51,3
13293,392,6,1192.94,3
13294,190,3,1689.53,3
13295,360,4,1101.97,3
13296,137,6,792.51,3
13297,8,7,4368.62,0
13298,1,1,360.0,1
13299,268,3,1218.7,3
13300,169,3,1285.51,3
13301,104,4,618.09,3
13302,155,2,159.2,1
13303,400,1,61.72,2
13304,351,4,1217.99,3
13305,4,16,3754.71,0
13306,430,1,53.65,2
13307,120,3,273.34,1
13308,23,4,1670.3700000000001,3
13309,7,6,1706.3700000000001,3
13310,28,5,1541.2,3
13311,4,2,598.57,1
13312,451,1,124.75,2
13313,22,12,3445.32,0
13314,2,3,775.94,3
13315,689,1,310.26,2
13316,37,10,13191.57,0
13317,66,19,6486.091,0
13318,1,3,640.76,1
13319,5,58,22082.5,0
13320,78,6,2228.1,3
13321,72,2,567.36,1
13322,17,1,199.48000000000002,1
13323,3,5,787.85,3
13324,36,18,10513.47,0
13325,82,1,675.3,1
13326,432,1,281.76,2
13327,39,20,9879.48,0
13328,316,1,1308.48,2
13329,32,8,5112.97,0
13330,93,6,2806.18,3
13331,402,1,262.4,2
13332,14,1,350.9,1
13333,411,3,1015.74,2
13334,82,5,6263.75,3
13336,77,1,795.12,1
13337,546,1,1575.26,2
13338,158,4,2445.62,3
13339,201,1,860.12,1
13340,45,12,22100.56,0
13341,261,1,775.85,1
13343,178,1,353.43,1
13344,68,3,2543.72,3
13345,288,1,389.5,1
13346,463,6,299.4,2
13347,70,1,341.36,1
13348,64,1,233.76,1
13349,11,1,247.32,1
13350,16,2,979.12,1
13351,66,1,373.94,1
13352,60,1,397.97999999999996,1
13354,71,1,743.53,1
13355,122,1,674.7,1
13356,80,1,768.24,1
13357,257,5,3838.36,3
13358,269,1,439.03,1
13359,64,2,1043.31,3
13360,432,4,1553.65,3
13361,472,2,1450.5,2
13362,9,7,5394.07,0
13363,18,3,1723.86,3
13364,71,1,134.95999999999998,1
13365,34,2,2225.37,3
13366,50,1,56.160000000000004,1
13367,432,1,510.20000000000005,2
13368,257,4,1121.5,3
13369,366,1,616.5600000000001,2
13370,372,1,1509.74,2
13371,505,2,2297.66,2
13372,90,1,378.64,1
